編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
320,新選洛陽橋記全本三卷,第十一冊,78,南音,民國五桂堂刻本,廣州五桂堂,日本松浦恒雄先生藏本,无,"分類, 插畫, 書名, 書局信息, 書局廣告, 藥廠廣告",无,封面“機板正字好唱南音”
321,新選神針寶扇全本南音四卷,第十一冊,98,南音,民國廣州市光復中路醉經書局刻本,醉經書局,中山大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一六二毫米 寬一一四毫米,內頁題名“新選神針寶扇全本南音”
322,新選神盒影容記全本四卷,第十一冊,134,无,清第七甫五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
323,新選飛龍傳匡胤出身全本四卷,第十一冊,180,无,民國省港五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
324,新刻正字紅樓夢南音全套四卷,第十一冊,219,无,民國廣州市第七甫五桂堂刻本,廣州五桂堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一二毫米,无
325,秦雪梅一卷,第十一冊,247,无,清刻本,無信息,廣州圖書館,无,無封面,无,无
326,新刻節孝荼薇記全本三卷,第十一冊,257,无,清廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",无,无
327,新刻荼薇記銀嬌全本三卷,第十一冊,280,无,民國廣州市第七甫五桂堂刻本,廣州五桂堂,廣州大典研究中心,无,"故事情節/內容, 書名, 書局信息",原書版框高一五九毫米 寬一一八毫米,无
328,莞音擇錦選本不分卷,第十一冊,300,无,民國抄本,無信息,楊寶霖先生藏本,无,書名,題 蒼野老人 重校,无
329,桂枝告狀一卷,第十一冊,323,无,清末民國抄本,無信息,廣東省立中山圖書館,无,"分類, 書名",无,封面“□□木魚”
330,新刻桂枝寫狀柳絲琴全本二卷,第十一冊,343,无,清省城五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
331,新刻正字桂枝寫狀柳絲琴全本二卷,第十一冊,358,无,民國廣州市第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六四毫米 寬一一八毫米,无
332,新選連成金玉記四卷,第十一冊,370,无,清莞城萃英樓刻廣州太平新街以文堂印本,"以文堂, 萃英樓",臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
333,新出大宋高文舉珍珠記四卷,第十一冊,405,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五三毫米 寬一一二毫米,无
334,新選粉粧樓羅家後代全本初集至六集二十四卷,第十一冊,426,无,清粵東省城五桂堂 以文堂刻本,"以文堂, 廣州五桂堂",中山大學圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一六二毫米 寬一一四毫米,无
335,新選粉粧樓全本二集至六集二十卷,第十一冊,583,无,清教場街萃英樓刻本,萃英樓,廣州大典研究中心,无,"故事情節/內容, 書名, 書局信息",原書版框高一六五毫米 寬一一三毫米,无
336,新刻陳世美三官堂琵琶記二卷,第十二冊,1,无,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",无,无
337,新刻陳世美三官堂琵琶記全本四卷,第十二冊,31,南音,清粵東省太平新街以文堂刻本,以文堂,廣州大典研究中心,无,"分類, 插畫, 書名, 書局信息",原書版框高一五八毫米 寬一一三毫米,封面寫“新出南音”
338,陳生賣鼓槓一卷,第十二冊,57,无,民國廣州光復中路華興書局鉛印本,華興書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",无,无
339,陳生賣鼓槓一卷,第十二冊,73,无,民國石印本,無信息,廣州大典研究中心,无,無封面,无,无
340,新選正字陳姑追舟四卷,第十二冊,81,无,清末民國五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
341,玉龍太子走國陰陽扇全本初集至八集八十卷,第十二冊,103,无,清佛山舍人後街近文堂刻本,近文堂,廣東省立中山圖書館,无,"故事情節/內容, 書名, 書局信息",清 梁紹仁撰，題閒情居士、幽閒主人、清閒居士 訂；原書版框高一六四毫米 寬一一四毫米,无
342,新刻全本陰陽扇三卷,第十三冊,1,无,民國廣州市太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息",无,无
343,桑園試妻一卷,第十三冊,27,无,民國抄本,無信息,佛山市順德圖書館,无,書名,无,无
344,正宗梅李爭花真本四卷(存卷一卷二),第十三冊,41,无,清明秀堂刻本,明秀堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",无,无
345,新選梅李爭花全本四卷,第十三冊,61,无,清省城丹柱堂刻民國廣州市第七甫醉經堂印本,"丹柱堂, 醉經堂",廣東省立中山圖書館,无,"插畫, 書名, 書局信息",原書版框高一六八毫米 寬一一六毫米,无
346,新編節義傳芳雪梅記四卷,第十三冊,100,无,清□□堂刻民國省港五桂堂印本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
347,新刻崔文瑞張四姐南音全本二卷,第十三冊,144,南音,清省城丹柱堂刻民國廣州市太平新街以文堂印本,"丹柱堂, 以文堂",中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息, 畫家信息",原書版框高一六八毫米 寬一一四毫米,內頁標題“新刻崔文瑞張四姐南音全本”
348,新編繡像偶遇奇緣全本二卷,第十三冊,158,无,清省城第七甫丹柱堂刻五桂堂印本,"丹柱堂, 廣州五桂堂",英國倫敦大學亞非學院圖書館,无,"書名, 書局信息",无,封面標題《陳探花南》
349,清閒摘錦不分卷,第十三冊,175,无,清末民國第七甫五桂堂刻本,廣州五桂堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
