編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
405,新選潛龍走國四卷,第十七册,456,无,清□柱堂刻民國五桂堂印本,廣州五桂堂,中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息, 畫家信息",原書版框高一六七毫米 寬一〇六毫米,无
406,新刻薛剛夜祭坵墳全本二卷,第十七册,496,无,清省城丹柱堂刻民國廣州市以文堂印本,"丹柱堂, 以文堂",英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
407,薛家後代初集至四集二十四卷,第十七册,514,无,清□□堂刻省城靖遠街德文堂 省城第八甫右經堂印本,"右經堂, 德文堂",廣東省立中山圖書館,无,"故事情節/內容, 書名, 書局信息",題閒情居士訂；原書版框高一七四毫米 寬一一三毫米,无
408,改良醒世良規初集一卷二集一卷,第十七册,722,无,清省城太平門外正興大街成文堂刻本,成文堂,北京師範大學圖書館,无,"故事情節/內容, 書名, 書局信息, 目錄",无,无
409,醒世良規初集一卷二集一卷,第十七册,743,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣州圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息",无,无
410,醜婦遊十殿一卷,第十八册,1,木魚,民國廣州光復中路華興書局鉛印本,華興書局,廣東省立中山圖書館,无,"分類, 書名, 書局信息",无,封面寫“最新木魚”
411,醜婦遊拾殿一卷,第十八册,8,无,民國赤坎新開印務書局鉛印本,赤坎書局,中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息",无,內頁有“本局所出版之木魚”詳細書目，可作為補正
412,新補錦香亭全本三卷,第十八册,24,南音,清光緒十三年莞城教場街萃英樓刻本,萃英樓,臺北傅斯年圖書館,无,"年份, 書名, 書局信息",題 二酉齋 輯訂,封面寫“二酉齋輯訂原本 清唱南音”
413,錦雲肩記全本二卷,第十八册,44,无,清乾隆攀桂堂刻本,攀桂堂,德國巴伐利亞州立圖書館,无,"年份, 書名, 書局信息",題 逸軒主人 評選,无
414,新刻錦雲肩胡生哭別二卷,第十八册,63,无,民國廣州市光復中路醉經書局刻本,醉經書局,中山大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息",原書版框高一六二毫米 寬一一四毫米,无
415,新出錦霞掃雪二卷,第十八册,77,无,清佛鎮走馬路芹香閣刻本,芹香閣,臺北傅斯年圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
416,新刻全本鍾景期錦香亭記南音二卷,第十八册,85,南音,清攀桂堂刻本,攀桂堂,英國倫敦大學亞非學院圖書館,无,"故事情節/內容, 書名",題 攀桂堂 重訂,封面標題《新刻唐明皇遊月殿全》；內頁寫“新刻全本鍾景期錦香亭記南音”
417,鍾無豔娘娘初集至六集六十四卷,第十八册,106,无,清璧經堂、永利堂刻第七甫五桂堂印本,"廣州五桂堂, 永利堂, 璧經堂",廣東省立中山圖書館,无,"書名, 書局信息",題 守拙主人 閒情居士 訂；原書版框高一六九毫米 寬一一六毫米,无
418,鍾國母二集十卷,第十八册,702,无,民國廣州市光復中路醉經書局鉛印本,醉經書局,廣州大典研究中心,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一七〇毫米 寬一一〇毫米,无
419,新編曠野奇逢全本四卷,第十九册,1,无,民國省港五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六三毫米 寬一一〇毫米,无
420,新刻蠄蜍王全本三卷,第十九册,37,无,清省城丹柱堂刻民國廣州市第七甫以文堂印本,"丹柱堂, 以文堂",中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
421,雙珠鳳記二卷,第十九册,53,无,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",无,无
422,新刻雙鳳奇仙全本四卷,第十九册,80,无,清永善堂刻民國省港五桂堂印本,"廣州五桂堂, 永善堂",中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
423,新編全本雙鳳裙五卷,第十九册,104,无,清粵東第七甫五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
424,新選全本蘇英娘娘走國初集至四集二十四卷,第十九册,149,无,清省城第七甫丹柱堂刻本,丹柱堂,復旦大學圖書館,无,"故事情節/內容, 書名, 書局信息",題 閒情居士 訂,无
425,蘇映雪墜樓三卷,第十九册,351,无,清第七甫五桂堂刻本,廣州五桂堂,廣州大典研究中心,无,"書名, 書局信息",原書版框高一五三毫米 寬一一〇毫米,无
426,新編關公出世南音四卷十二回,第十九册,362,南音,民國省港五桂堂刻本,廣州五桂堂,廣州圖書館,无,"插畫, 書名, 書局信息, 畫家信息",馮庸 撰；原書版框高一五八毫米 寬一〇九毫米,內頁標題“新選正字南音關公出世歷史全套”
427,新刻正字關倫賣妹全本四卷,第十九册,384,无,清末民國狀元坊太平新街以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六六毫米 寬一一五毫米,无
428,新刻羅卜挑經救母全本四卷,第十九册,407,无,清省城丹柱堂刻民國廣州市太平新街以文堂印本,"丹柱堂, 以文堂",臺北傅斯年圖書館,无,"插畫, 書名, 書局信息",原書版框高一六三毫米 寬一〇九毫米,无
429,新編忠考節義懷春乞食養家婆全集一卷,第十九册,437,无,民國赤坎東埠新開培記書局鉛印本,培記書局,佛山市順德圖書館,无,"書名, 書局信息",余瑞珊 編輯,无
430,新編趣緻木魚懷春憶夫全集一卷,第十九册,474,木魚,民國廣州市光復中路民智書局鉛印本,民智書店,廣東省立中山圖書館,无,"插畫, 書名, 書局信息",余瑞珊 編輯,內頁標題“新編趣緻木魚懷春憶夫全集”
431,新選繡戈袍初集全本四卷二集四卷,第十九册,488,无,清咸豐元年至三年莞城明秀堂刻本,明秀堂,臺北傅斯年圖書館,无,"年份, 故事情節/內容, 書名, 書局信息",无,无
432,新選全本繡球記六卷,第十九册,543,无,清省城第七甫丹柱堂刻民國廣州市第七甫醉經堂印本,"丹柱堂, 醉經堂",臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 閒情居士 訂,无
433,新刻忠孝節義竇韜記全本六卷,第十九册,593,无,清省城榮德堂刻第七甫丹柱堂印本,"丹柱堂, 榮德堂",復旦大學圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
434,新選全本合竹州鐮刀記二卷,第十九册,645,无,清省城九曜坊成德堂刻本,成德堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",題 閒情居士 稿,无
435,新選紫竹林中觀音出世二卷,第十九册,659,无,清東莞華翰堂刻本,華翰堂,德國巴伐利亞州立圖書館,无,"年份, 書名, 書局信息",无,无
436,新刻正字觀音出世全本二卷,第十九册,675,无,民國公益埠蘇杭街會文閣製筆印書局鉛印本,會文閣,廣州圖書館,无,"插畫, 書名, 書局信息",无,无
437,二美懷舟一卷,第一冊,1,南音,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"分類, 書名, 書局信息",无,封面寫“南音”
438,二賭博談一卷,第一冊,4,无,民國廣州第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",馮庸撰,无
439,新訂十二時辰一卷,第一冊,7,无,清粵東省城歸德門內學院前璧經堂刻本,璧經堂,廣州圖書館,无,"插畫, 書名, 書局信息",无,无
440,十二時辰一卷,第一冊,11,无,清志寶堂刻民國廣州市西堤二馬路正興大街成文堂印本,"志寶堂, 成文堂",北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
441,十二時辰二卷,第一冊,15,无,清廣州狀元坊太平新街以文堂刻民國省港五桂堂印本,"以文堂, 廣州五桂堂",英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",无,无
442,新本十送英台一卷,第一冊,19,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
443,新刻十教女娘南音全本一卷,第一冊,22,"南音, 龍舟",清第七甫五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"分類, 書名, 書局信息",无,封面寫“新出龍舟”，內頁標題寫“新刻十教女娘南音全本”。可見南音與龍舟混用。
444,十諫才郎一卷,第一冊,25,无,清廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
445,十諫嫖客一卷附龜公嘆一卷,第一冊,28,无,清第七甫閘口五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一六一毫米 寬一一四毫米,无
446,丁山射雁二卷,第一冊,31,龍舟,清佛山福祿大街正同文刻本,正同文堂,廣州大典研究中心,无,"分類, 書名, 書局信息",原書版框高一五九毫米 寬一一〇毫米,封面寫“正同文新刻龍舟”
447,丁山射雁二卷,第一冊,36,无,清廣州狀元坊太平新街以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六一毫米 寬九九毫米,无
448,丁山射雁二卷,第一冊,41,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息",原書版框高一五五毫米 寬一〇二毫米,无
449,龍舟七夕讚花二卷,第一冊,45,龍舟,民國廣州市太平新街以文堂刻本,以文堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息",原書版框高一六五毫米 寬一一五毫米,內頁標題寫“龍舟七夕讚花上”
450,七曲琴一卷,第一冊,50,无,清末民國廣州光復路五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,无
451,重訂七嫁才郎一卷,第一冊,53,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一五七毫米 寬一〇四毫米,无
452,八仙賀壽一卷,第一冊,56,无,清末民國廣州西堤二馬路正興大街成文堂印本,成文堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
453,九調十三腔一卷,第一冊,59,无,清末民國廣州市第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
454,又讚其妙二卷,第一冊,62,无,清□□堂刻本,無信息,臺北傅斯年圖書館,无,書名,无,書名《有用通寶》
455,新出時事三大害龍舟歌二卷,第一冊,66,龍舟,清第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,內頁標題寫“新出時事三大害龍舟歌”
456,三別徐庶二卷,第一冊,70,龍舟,清狀元坊內太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 以文堂 訂,封面寫“新出龍舟”
457,三姑回門一卷,第一冊,74,南音,清□□堂刻本,無信息,廣州大典研究中心,无,"分類, 插畫, 書名",无,封面寫“新本南音”
458,三姑回門二卷,第一冊,77,无,清第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",題 杏花氏 重訂；原書版框高一五七毫米 寬一〇四毫米,无
459,重訂三春投水龍舟歌二卷 : 清省城元坊太平新街堂刻民國五桂堂印本,第一冊,81,龍舟,清省城狀元坊內太平新街□□堂刻民國五桂堂印本,廣州五桂堂,日本金文京先生藏本,无,"分類, 插畫, 書名, 書局信息, 書局廣告",无,封面寫“正字龍舟”，內頁標題“重訂三春投水龍舟歌”。猜測是以文堂的書版。
460,重訂三春投水龍舟歌二卷 : 清末民國省城狀元坊內太平新街以文堂刻本,第一冊,85,无,清末民國省城狀元坊內太平新街以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息",原書版框高一四九毫米 寬一〇七毫米,內容排版跟上面一模一樣。
461,三氣宣王二卷,第一冊,89,无,清省城□□堂刻民國廣州市光復中路醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,无
462,三婦怨夫醒世良言一卷,第一冊,94,龍舟,清第七甫五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面寫“龍舟歌”
463,三婦怨夫醒世良言一卷,第一冊,97,无,清末民國廣州正興大街成文堂刻本,成文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
464,三婦怨夫醒世良言一卷,第一冊,100,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,无
465,三聘孔明二卷,第一冊,103,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",題五桂堂訂；原書版框高一五七毫米 寬一〇四毫米,无
466,三聘孔明一卷,第一冊,107,无,民國廣州市光復中路醉經書局刻本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息",原書版框高一五五毫米 寬一〇二毫米,无
467,土地公抵制二卷,第一冊,111,无,清末民國省城狀元坊內太平新街以文堂書局刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
468,士九拜山一卷,第一冊,115,无,清末民國第七甫五桂堂刻本,廣州五桂堂,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",无,无
469,士九問路一卷,第一冊,118,无,清第七甫三元堂刻民國廣州市光復中路醉經書局印本,"三元堂, 醉經書局",廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,无
470,大快活開廳一卷,第一冊,121,无,民國廣州市第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"書名, 書局信息",原書版框高一六一毫米 寬一一四毫米,无
471,大粒烟嘆五更一卷,第一冊,124,叹五更,清刻本,無信息,廣東省立中山圖書館,无,書名,原書版框高一六八毫米 寬一一〇毫米,无
472,大閙烟公一卷,第一冊,127,龍舟,清省城西堤二馬路正興大街成文堂刻本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“龍舟歌”
473,三次改良大閙發瘋婆一卷,第一冊,132,无,清第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
474,大閙發瘋婆一卷,第一冊,135,龍舟,清金玉堂刻民國廣州市正興大街成文堂印本,"成文堂, 金玉堂",北京師範大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
475,大閙鴉片佬一卷,第一冊,139,龍舟,清末民國□□堂刻省港五桂堂印本,廣州五桂堂,復旦大學圖書館,无,"分類, 插畫, 書名, 書局信息, 書局廣告",无,封面寫“正字龍舟”
476,大罵梅知府一卷倫碧容祭監一卷 / ,第一冊,142,龍舟,清悦覌堂刻粵東省城太平門外靖遠街德文堂印本,"德文堂, 悦覌堂",廣州大典研究中心,无,"分類, 書名, 書局信息",題 龍舟珠 撰；原書版框高一四四毫米 寬一一二毫米,封面寫“新出龍舟歌”
477,大罵梅知府一卷,第一冊,147,龍舟,清守經堂刻省城第七甫明德堂印本,"守經堂, 明德堂",復旦大學圖書館,无,"分類, 書名, 書局信息",題 龍舟珠 撰,封面寫“新出龍舟歌”
478,上林御苑題詩一卷 : ,第一冊,150,龍舟,清□□堂刻省城元坊內太平新街以文堂印本,以文堂,國家圖書館,无,"分類, 書名, 書局信息",无,封面寫“新出龍舟歌”
479,上林御苑題詩一卷 : 清丹柱堂刻本,第一冊,153,无,清丹柱堂刻本,丹柱堂,復旦大學圖書館,无,無封面,无,无
480,小王和琴一卷,第一冊,156,"南音, 龍舟",清五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"分類, 書名, 書局信息",无,封面寫“南音龍舟歌”
481,小王和琴一卷,第一冊,159,无,民國廣州市太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息",无,无
482,小青吊影一卷,第一冊,162,"南音, 龍舟",清五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"分類, 書名, 書局信息",无,封面寫“南音龍舟歌”
483,新山伯訪友一卷,第一冊,165,无,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"插畫, 書名, 書局信息",无,无
484,山伯訪友一卷,第一冊,168,无,清末民國狀元坊太平新街以文堂刻本,以文堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",題 以文堂主人 重訂,无
485,山伯訪友一卷,第一冊,171,无,清末民國□□堂刻廣州五桂堂印本,廣州五桂堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
486,乞米養家婆一卷碧蘭割股一卷節女守清一卷新出鳯珍守節南音一卷活捉三郎一卷,第一冊,174,无,清富經堂刻省城太平新街以文堂印本,"以文堂, 富經堂",復旦大學圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
487,新本乞米養家婆一卷,第一冊,181,无,清粵東佛山走馬路芹香閣刻本,芹香閣,佛山市順德圖書館,无,"書名, 書局信息",原書版框高一六六毫米 寬一一三毫米,无
488,龍舟王允獻貂蟬一卷,第一冊,184,龍舟,清倫教同文堂刻民國廣州市正興大街成文堂印本,成文堂,北京師範大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
489,龍舟王允獻貂蟬一卷,第一冊,187,龍舟,民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁標題“龍舟王允獻貂禪”
490,王寶釧彩樓招贅十二卷首一卷,第一冊,190,龍舟,清仁濟悦覌堂刻民國廣州市第七甫醉經堂印本,"悦覌堂, 醉經堂",國家圖書館,无,無封面,无,中縫寫“龍舟彩樓招贅”
491,新本天奇告狀一卷,第一冊,211,龍舟,清末民國廣州正興大街成文堂刻本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
492,新本天官賜福十錦包心一卷,第一冊,214,无,清□□堂刻民國廣州市第七甫醉經堂印本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁各句標注唱法。
493,天香館留宿一卷,第一冊,217,无,清丹柱堂刻本,丹柱堂,復旦大學圖書館,无,無封面,无,无
494,天香館留宿一卷,第一冊,220,龍舟,清□□堂刻省城狀元坊內太平新街以文堂印本,以文堂,國家圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
495,五更苦怨一卷,第一冊,223,"叹五更, 龍舟",清第七甫五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"分類, 書名, 書局信息",无,封面寫“新出龍舟歌”
496,新出五拜廟一卷,第一冊,226,龍舟,民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“龍舟”
497,五想同心一卷,第一冊,229,龍舟,清□□堂刻民國廣州市太平新街以文堂印本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“龍舟”
498,五諫刁妻一卷,第一冊,232,龍舟,清金玉堂刻省城西堤二馬路正興大街成文堂印本,"成文堂, 金玉堂",首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“龍舟歌”
499,五諫刁妻三卷,第一冊,237,龍舟,清末民國太平新街□□堂刻省港五桂堂印本,廣州五桂堂,英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,封面“正字龍舟”
500,新串五諫洋烟二卷,第一冊,242,无,清第七甫五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"書名, 書局信息",无,无
501,新串五諫洋烟二卷 / 題劉祥記訂,第一冊,247,无,无,无,无,无,无,无,无
502,五諫賢夫南音二卷,第一冊,252,无,无,无,无,无,无,无,无
503,太子下魚舟痴人乞食一卷,第一冊,257,无,无,无,无,无,无,无,无
504,日夜時辰一卷,第一冊,260,无,无,无,无,无,无,无,无
505,全本水淹金山一卷,第一冊,264,无,无,无,无,无,无,无,无
506,仁貴歸家四卷,第一冊,267,无,无,无,无,无,无,无,无
507,月華嘆五更一卷,第一冊,274,"叹五更, 龍舟",清粵東省城第七甫五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
508,新方倫別一卷,第一冊,277,无,无,无,无,无,无,无,无
509,宣統元年正月初九晚火燒大沙頭故事三卷,第一冊,280,无,无,无,无,无,无,无,无
510,火燒塘魚欄二卷,第一冊,285,无,无,无,无,无,无,无,无
511,孔子博學一卷,第一冊,289,无,无,无,无,无,无,无,无
512,孔明掃琴一卷 : 民國廣州市太平新街以文堂刻本,第一冊,292,无,无,无,无,无,无,无,无
513,孔明掃琴一卷 : 清省城堂刻民國廣州醉經書局印本,第一冊,295,无,无,无,无,无,无,无,无
514,新刻玉嬋問覡一卷,第一冊,298,无,无,无,无,无,无,无,无
515,玉嬋嘆五更一卷,第一冊,302,"叹五更, 龍舟",清粵東省城第七甫五桂堂刻本,廣州五桂堂,廣州圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
516,新本玉嬋嘆五更一卷,第一冊,305,"南音, 叹五更",清省城太平門第七甫丹柱堂刻本,丹柱堂,北京師範大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新刻南音”
517,新玉簫琴記南音二卷,第一冊,308,无,无,无,无,无,无,无,无
518,玉簫琴三卷,第一冊,313,无,无,无,无,无,无,无,无
519,玉蘭買水一卷,第一冊,319,无,无,无,无,无,无,无,无
520,特別打天九歌一卷,第一冊,323,无,无,无,无,无,无,无,无
521,新本打爛槓一卷,第一冊,326,无,无,无,无,无,无,无,无
522,世隆成親一卷,第一冊,330,无,无,无,无,无,无,无,无
523,世隆成親一卷,第一冊,333,无,无,无,无,无,无,无,无
524,重訂石女嘆五更一卷,第一冊,336,叹五更,清末民國狀元坊內太平新街以文堂刻本,以文堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
525,新本石女嘆五更一卷,第一冊,339,叹五更,民國廣州市光復中路五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",題風流主人撰,无
526,平貴伏紅鬃馬一卷,第一冊,342,无,无,无,无,无,无,无,无
527,平貴別窑一卷,第一冊,345,无,无,无,无,无,无,无,无
528,四季蓮花二卷 : 清省城三元堂刻民國廣州市西堤二馬路正興大街成文堂印本,第一冊,348,无,无,无,无,无,无,无,无
529,四季蓮花二卷 : 民國廣州市第七甫醉經堂刻本,第一冊,353,无,无,无,无,无,无,无,无
530,四季蓮花二卷 : 民國省港五桂堂刻本,第一冊,357,无,无,无,无,无,无,无,无
531,生祭彥貴一卷,第一冊,362,无,无,无,无,无,无,无,无
532,仙凡相會一卷,第一冊,365,无,无,无,无,无,无,无,无
533,仙姬送子一卷,第一冊,368,无,无,无,无,无,无,无,无
534,白絲蘭問米全本二卷,第一冊,370,无,无,无,无,无,无,无,无
535,龍舟包公訪友一卷 / 題龍舟松撰,第一冊,375,无,无,无,无,无,无,无,无
536,龍舟包公訪友一卷,第一冊,378,无,无,无,无,无,无,无,无
537,包公訪友二卷,第一冊,382,无,无,无,无,无,无,无,无
538,奶媽出身一卷 / 題大良龍舟海訂,第一冊,386,无,无,无,无,无,无,无,无
539,新刻奶媽放白鴿□□卷 (存卷上),第一冊,389,无,无,无,无,无,无,无,无
540,母諫心田二卷,第一冊,394,无,无,无,无,无,无,无,无
541,考世系二卷,第一冊,398,无,无,无,无,无,无,无,无
542,老女自嘆一卷,第一冊,402,叹五更,民國廣州市第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
543,老女思夫一卷,第一冊,405,无,无,无,无,无,无,无,无
544,新本老女嘆五更一卷,第一冊,408,叹五更,清末民國成文堂刻第七甫五桂堂印本,"廣州五桂堂, 成文堂",北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
545,老來難一卷,第一冊,411,无,无,无,无,无,无,无,无
546,老鼠告狀一卷,第一冊,414,无,无,无,无,无,无,无,无
547,改良老舉留人客一卷,第一冊,417,无,无,无,无,无,无,无,无
548,老舉問米二卷,第一冊,420,无,无,无,无,无,无,无,无
549,西蓬擊掌南音全一卷,第一冊,424,无,无,无,无,无,无,无,无
550,重訂西薘擊掌一卷,第一冊,427,无,无,无,无,无,无,无,无
551,百里奚會妻三卷,第一冊,430,无,无,无,无,无,无,无,无
552,存孝道新本百八鐘二卷,第一冊,436,无,无,无,无,无,无,无,无
553,同心上半年一卷,第一冊,441,无,无,无,无,无,无,无,无
554,龍舟朱洪武遊太廟一卷,第一冊,444,无,无,无,无,无,无,无,无
555,朱買臣得志二卷,第一冊,448,无,无,无,无,无,无,无,无
556,延師診脉一卷,第一冊,452,无,无,无,无,无,无,无,无
557,自由女想靚仔一卷,第一冊,455,无,无,无,无,无,无,无,无
558,行炸李準三卷,第一冊,458,无,无,无,无,无,无,无,无
559,花木思嬌一卷,第一冊,463,无,无,无,无,无,无,无,无
560,花名嘆五更一卷,第一冊,466,叹五更,清刻本,無信息,廣州圖書館,无,無封面,无,无
561,新本花園擲戟二卷,第一冊,468,无,无,无,无,无,无,无,无
562,杜十娘沉箱全本三卷,第一冊,473,无,无,无,无,无,无,无,无
563,重訂杜十娘沉八寶箱全本三卷,第一冊,478,无,无,无,无,无,无,无,无
564,南音杏元投崖二卷,第一冊,483,无,无,无,无,无,无,无,无
565,新本杏元憶釵一卷,第一冊,487,无,无,无,无,无,无,无,无
566,杏元憶釵南音一卷,第一冊,490,无,无,无,无,无,无,无,无
567,李仙刺目一卷,第一冊,493,无,无,无,无,无,无,无,无
568,李彩英拜月一卷,第一冊,496,无,无,无,无,无,无,无,无
569,李龍尋妻二卷,第一冊,499,无,无,无,无,无,无,无,无
570,新本李龍尋妻二卷 / 題金玉堂校,第一冊,503,无,无,无,无,无,无,无,无
571,李龍尋妻二卷,第一冊,508,无,无,无,无,无,无,无,无
572,李龍閙酒三卷 / 題以文堂重訂,第一冊,512,无,无,无,无,无,无,无,无
573,新本肖女賣瘋警世良言一卷,第一冊,517,无,无,无,无,无,无,无,无
574,呆仔成親新出版眼一卷 / 題龍舟松撰,第一冊,520,无,无,无,无,无,无,无,无
575,重較呆佬拜壽南音三卷,第一冊,523,无,无,无,无,无,无,无,无
576,特別改良新串呆佬拜壽三卷,第一冊,530,无,无,无,无,无,无,无,无
577,重訂呆佬拜壽三卷,第一冊,535,无,无,无,无,无,无,无,无
578,男燒衣祭奠情人一卷,第一冊,540,无,无,无,无,无,无,无,无
579,吹簫憶友一卷,第一冊,543,无,无,无,无,无,无,无,无
580,華林寺秀容附薦新本南音二卷,第一冊,546,无,无,无,无,无,无,无,无
581,新本秀容掃琴南音二卷,第一冊,554,无,无,无,无,无,无,无,无
582,秀琼起寺一卷 : 清省城第七甫丹堂抄本,第一冊,557,无,无,无,无,无,无,无,无
